Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,16548.75364414323,0.7026000223385966,0.8029417887887714,1.026135908464072,0.4621290939594996,0.0,1.514710157772476,0.6403254270553589,1.23258155365399,1.8729069807093488,0.9281717303247101,0.22309700250370101,1.8973559210267295,3.9886937498633785,0.0,1149,48771,48771,1.0,1.0,3744050,203750,48771,243855,154979,3.177687560230465,0.054419679224369334,171.833384988131,15968.061523421435,178.66139756608754,3.803148865699768e-05,206.52392909675837,32361.9052734375,1.0,1e-05
2,16622.752400770783,0.6049862230363569,0.7530346404375254,0.8938047384034301,0.4101458281615799,0.0,1.332282342113963,0.5751533508300781,3.4055592784805446,3.9807126293106228,0.9262954626819513,0.24084887814339148,3.396133851940239,3.7080035962963103,0.0,1149,48771,48771,1.0,1.0,3744050,203750,48771,243855,154979,3.177687560230465,0.054419679224369334,178.30943757737987,16026.312418279704,191.00803059339523,6.05238601565361e-05,203.22135974559933,32361.90576171875,1.0,1e-05
3,16610.784792788327,0.6250304422034089,0.7084908237967728,0.7609689949101422,0.34628460415557116,0.0,1.2673809593713625,0.6280109882354736,2.7714771838182455,3.399488172053719,0.9277024293000333,0.249237064887026,3.1098109658685105,3.3708274417609787,0.0,1149,48771,48771,1.0,1.0,3744050,203750,48771,243855,154979,3.177687560230465,0.054419679224369334,175.34653006121516,16016.418871928006,190.61919831577688,4.7585926949977875e-05,204.74641390517354,32361.90576171875,1.0,1e-05
4,16604.804427128285,0.6976739124462229,0.6594384583418426,0.49741165183672603,0.236263024070348,0.0,1.1877520616621013,0.7165687680244446,2.150702090668113,2.8672708586925575,0.927610581381442,0.24962733733446676,2.739585306993848,3.5086732706412,0.0,1149,48771,48771,1.0,1.0,3744050,203750,48771,243855,154979,3.177687560230465,0.054419679224369334,167.36546795349568,16018.27164245653,191.22630064655095,3.826245665550232e-05,204.12590443436056,32411.501953125,1.0,1e-05
5,16601.419599542394,0.7230893040419871,0.6245343225394807,0.3446978217036259,0.16450659458230182,0.0,1.1214663217343934,0.7373000979423523,2.0567876554045132,2.7940877533468655,0.930131346608355,0.25312976505003665,2.693963543322722,3.3606830294940933,0.0,1148,48771,48771,1.0,1.0,3740045,203750,48771,243855,154979,3.177687560230465,0.054477954142262995,177.79334582109004,16003.052406998118,190.9724490540102,4.150066524744034e-05,205.68738652579486,32411.576171875,1.0,1e-05
