Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,697.6476269881241,0.6536942671415548,0.5180284380912781,0.8428558333289465,0.845940176251691,0.7401783349518849,0.7586122047244095,9.076281865518155e-05
2,694.456780209206,0.47591659787748686,0.4444323778152466,0.8946265407071776,0.8954564005478428,0.8200585304120858,0.8134022309711286,9.891006410716841e-05
3,701.5484461849555,0.4194052246825889,0.4173034131526947,0.9119121507246705,0.9130619894141616,0.8352065982049002,0.8328412073490814,9.41615222844648e-05
4,698.9593822830357,0.38208896663094977,0.38685813546180725,0.9275794054774289,0.9286939742903241,0.8546194546194547,0.853510498687664,8.598794312921012e-05
5,693.3638996691443,0.35194789338856936,0.3876786231994629,0.931010109439867,0.9340442517285248,0.8631141434341058,0.8568323490813649,7.502615570228941e-05
6,595.2690916121937,0.679190360127311,0.47997793555259705,0.939222866638685,0.9396109242020988,0.8690718766231171,0.865608595800525,7.214634834153863e-05
7,597.613356157206,0.6522211480297541,0.46663710474967957,0.9375403919924045,0.9391461081235831,0.8641034139874048,0.865485564304462,6.918789871181441e-05
8,601.0424110586755,0.6359030798077583,0.47237667441368103,0.9356798577213747,0.93905293972077,0.8692141877327062,0.8631479658792651,6.613213864616377e-05
9,601.4488754472695,0.6190075234362954,0.4337106943130493,0.9375036064502269,0.9395066386943938,0.8652081863091038,0.8668389107611548,6.300752573755987e-05
10,602.563763150014,0.5990074615729483,0.41983625292778015,0.9398966560308197,0.9418475242476503,0.8737573749292815,0.8718832020997376,5.98442554840399e-05
11,600.6336587183177,0.5763499228185729,0.40559452772140503,0.9368937767053422,0.93908290376627,0.8680255301626518,0.8685613517060368,5.662236727629799e-05
12,602.56707916921,0.5538400515913964,0.40690913796424866,0.9361385767632096,0.9389573427098684,0.8734753029266132,0.8711040026246719,5.3372214948943075e-05
13,608.6207993817516,0.5262022469780947,0.3923843204975128,0.9368719490245053,0.939594764876259,0.8701601999426394,0.8700377296587927,5.010767050041733e-05
14,611.0450266790576,0.5004518021486307,0.3885853588581085,0.9361501371249912,0.9384801716763548,0.8727433557154919,0.8702017716535433,4.6842667356278525e-05
15,609.6941322120838,0.47391347642007625,0.3818274736404419,0.9363061698609367,0.9394122492600901,0.8746714118170421,0.8729084645669292,4.3591140899846406e-05
16,602.2861600657925,0.451376818453795,0.3827103078365326,0.9348089292060809,0.9380070640203629,0.8753366834170855,0.8728264435695539,4.036696899449336e-05
17,606.0218299590051,0.42523479389124796,0.3796798288822174,0.9349364906920098,0.9374643743880335,0.8750960333185072,0.8733185695538058,3.71839127514363e-05
18,607.2852945146151,0.4039291758874529,0.3841392397880554,0.9310942263623349,0.9367383954832195,0.8756119091565685,0.8728674540682415,3.405555779583914e-05
19,604.5676748231053,0.38612265935853907,0.387637197971344,0.92597824643138,0.9321873722941496,0.875741096618555,0.875369094488189,3.09952562819088e-05
20,607.7169590480626,0.36855936740574086,0.3865022361278534,0.9261873677516469,0.9308491587816232,0.8760229132569558,0.875738188976378,2.8031515197497673e-05
