Epoch,Epoch Time,Train Loss,Train BCE Loss,Train Residual Anchor Loss,Train Weighted Residual Anchor Loss,Train Gradient Norm,Val auprc,Val Topology Loss,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Selected Rule Type,Selected Rule Positive Edges,Monitor Metric,Monitor Value,Peak GPU Mem MB,Learning Rate
1,25.098620516248047,0.9960752079884211,0.9960752079884211,5.7377267694391776e-05,5.737726664160429e-09,0.6041834354400635,0.6832847687486584,7631.533092675854,0.18637972849182927,31.85956298663924,24.43690118701959,110.32116003086617,threshold,230689.0,val_topology_loss,7631.533092675854,14277.4951171875,0.0001
2,21.987582459114492,0.9938297346234322,0.9938296750187874,0.0005457166480482556,5.4571663188340835e-08,0.5629160404205322,0.6841498525013784,7820.177914159966,0.18583844849642747,32.23918404558055,24.541587878454504,110.17503831249705,threshold,233356.0,val_topology_loss,7820.177914159966,14277.4951171875,0.0001
3,32.893352564424276,0.9919235445559025,0.9919233247637749,0.0021130493842065334,2.1130493443877185e-07,0.578150749206543,0.6854778314592629,8165.42901903714,0.18510028330568595,32.922228873122755,24.769098992377774,110.57819920624013,threshold,237773.0,val_topology_loss,8165.42901903714,14277.4951171875,0.0001
4,30.14288602489978,0.9867911115288734,0.9867905477682749,0.005717694836979111,5.717694643673591e-07,0.610144853591919,0.6868777188966414,8452.581181298152,0.18414782412778435,33.47937539609286,24.973440319402535,110.38049986691848,threshold,241593.0,val_topology_loss,8452.581181298152,14277.4951171875,0.0001
5,30.43429660703987,0.9816589057445526,0.9816578763226668,0.010246323072351515,1.024632285388331e-06,0.6644299030303955,0.6885229753480999,8715.590347451569,0.1830921581406894,33.98154058957772,25.034564628018426,110.88451670301576,threshold,245172.0,val_topology_loss,8715.590347451569,14277.4951171875,0.0001
6,29.432415523566306,0.9788232706487179,0.9788216451803843,0.016256105698024232,1.6256105463223018e-06,0.7536867260932922,0.6903844596381129,8978.002107193288,0.18214900867033773,34.47500897958979,25.14889346604371,111.12630833297294,threshold,248862.0,val_topology_loss,8978.002107193288,14277.4951171875,0.0001
7,29.163128381595016,0.9730114713311195,0.9730090759694576,0.023990459352110822,2.3990459065241034e-06,0.8566180467605591,0.6924437515251459,9245.485708608321,0.18111508711677743,34.97069312477426,25.205785349514223,110.93325967419885,threshold,252855.0,val_topology_loss,9245.485708608321,14277.4951171875,0.0001
8,30.47681820113212,0.9674262839059035,0.9674228131771088,0.034666095317030944,3.4666094753295815e-06,0.9756150841712952,0.694765243628056,9593.331684413319,0.18004725816620934,35.604656432625646,25.30751422201357,113.5223696652971,threshold,257437.0,val_topology_loss,9593.331684413319,14277.4951171875,0.0001
9,31.45763633865863,0.9617057554423809,0.9617008827626705,0.0486810797204574,4.868107851052628e-06,1.0866775512695312,0.697252592421885,9948.066899612253,0.17886893030201279,36.23940277989036,25.443404551595684,113.6389320118443,threshold,262384.0,val_topology_loss,9948.066899612253,14277.4951171875,0.0001
10,30.47793327923864,0.9530771349867185,0.9530704456071059,0.06682449905201793,6.682449850359262e-06,1.2175910472869873,0.6999027669494747,10348.162660518316,0.1777921326090098,36.941963379898944,25.485199669901654,114.8821656870845,threshold,267857.0,val_topology_loss,10348.162660518316,14277.4951171875,0.0001
11,31.557699993252754,0.9451534599065781,0.9451444931328297,0.0898089384039243,8.980893729434078e-06,1.3354911804199219,0.7027296937824881,10801.509851719147,0.17679855032696168,37.72171422588554,25.624569537274358,114.87918892022056,threshold,273839.0,val_topology_loss,10801.509851719147,14277.4951171875,0.0001
12,31.86797865666449,0.9386927932500839,0.9386808772881826,0.1193167424450318,1.1931674066545384e-05,1.4519845247268677,0.7056606933164593,11265.864098863538,0.17519533800127365,38.503580029139776,25.782348369606655,115.57748130520433,threshold,279947.0,val_topology_loss,11265.864098863538,14277.4951171875,0.0001
13,31.85694418940693,0.9288294998308023,0.9288142671187719,0.15236656026293835,1.5236655523646428e-05,1.5728768110275269,0.7086487648920603,11755.587101688076,0.1739675681643943,39.31098542599934,25.816469534336868,114.61670580921422,threshold,286251.0,val_topology_loss,11755.587101688076,14277.4951171875,0.0001
14,35.20459751226008,0.9200728212793668,0.9200534000992775,0.19407688453793526,1.9407688000683265e-05,1.7040029764175415,0.7116536269439544,12222.029596127955,0.17251499693326453,40.06443603601656,25.921617257308945,113.95637445439502,threshold,292635.0,val_topology_loss,12222.029596127955,14277.4951171875,0.0001
15,32.94605383183807,0.9105711542069912,0.9105468144019445,0.24352583102881908,2.4352582386200083e-05,1.8107939958572388,0.7146582360334622,12738.221258631676,0.17083982240840073,40.88167167811906,26.02042344762471,113.34750995874586,threshold,299193.0,val_topology_loss,12738.221258631676,14277.4951171875,0.0001
16,33.369536239653826,0.9022471991678079,0.9022179481883844,0.2925832582016786,2.9258325184855494e-05,1.9446073770523071,0.7174878840183975,13228.517123366833,0.16912086142695074,41.642702219437666,26.104589290384354,114.16949930514909,threshold,305796.0,val_topology_loss,13228.517123366833,14277.4951171875,0.0001
17,32.8898642770946,0.8922838817040125,0.8922488813598951,0.349881103883187,3.4988109746336704e-05,2.049757957458496,0.7201850348462037,13779.711853843068,0.167574487305532,42.48162375735452,26.157103913247255,112.99550206029497,threshold,312385.0,val_topology_loss,13779.711853843068,14277.4951171875,0.0001
18,33.65824152622372,0.8833727600673834,0.8833313683668772,0.4139764482776324,4.139764412987764e-05,2.1735219955444336,0.7227591413241894,14222.576985215343,0.16635545421298958,43.14356443504891,26.20630868120606,112.97623890075135,threshold,318209.0,val_topology_loss,14222.576985215343,14277.4951171875,0.0001
19,34.699636686593294,0.8754970915615559,0.8754499144852161,0.471678975969553,4.716789665811424e-05,2.2787067890167236,0.7251677061699919,14641.507981791065,0.16552697719007547,43.76031923368838,26.22860206546999,113.41407150732827,threshold,323504.0,val_topology_loss,14641.507981791065,14277.4951171875,0.0001
20,34.276998253539205,0.8658802149196466,0.8658264552553495,0.5376265831291676,5.3762656079925364e-05,2.4065744876861572,0.7273984492815846,15004.003540006495,0.16450305989763728,44.28691987682643,26.217167368127548,112.52401968729862,threshold,328059.0,val_topology_loss,15004.003540006495,14277.4951171875,0.0001
21,34.14914747979492,0.8563813467820486,0.856321689983209,0.5965314271549383,5.9653141155043464e-05,2.47629976272583,0.7294395073446099,15253.104724576127,0.16361233670315187,44.645044145302045,26.29861869983169,112.74615311113925,threshold,332062.0,val_topology_loss,15253.104724576127,14277.4951171875,0.0001
22,34.6774426009506,0.8487333543598652,0.848668672144413,0.6469020719329516,6.469020627264399e-05,2.5844264030456543,0.7312464784171057,15545.999063562545,0.1626503079584573,45.06242654932461,26.36449310698391,112.27707978217788,threshold,335956.0,val_topology_loss,15545.999063562545,14277.4951171875,0.0001
23,34.89976126514375,0.839804774771134,0.8397348088522752,0.6996632715066274,6.996632540297772e-05,2.6602730751037598,0.732870708822479,15767.50748647261,0.1618359144374718,45.37546998093874,26.421268306974024,112.70041552277273,threshold,339027.0,val_topology_loss,15767.50748647261,14277.4951171875,0.0001
24,35.2330112606287,0.8297716304659843,0.8296961262822151,0.7550790645182133,7.550790436046857e-05,2.6998486518859863,0.7343558163894833,15837.548069772289,0.1613463314488874,45.474000696659786,26.43102474355154,113.06291101536503,threshold,341258.0,val_topology_loss,15837.548069772289,14277.4951171875,0.0001
25,34.955695756711066,0.8254828105370203,0.8254041187465191,0.7869967917601267,7.869967688141817e-05,2.7534313201904297,0.7356667910967706,15856.97081496235,0.16098515514924333,45.50126248829956,26.465791394397012,112.57472761921545,threshold,343022.0,val_topology_loss,15856.97081496235,14277.4951171875,0.0001
26,34.80447884649038,0.8163719636698564,0.8162893677751223,0.8259825284282366,8.259825093167213e-05,2.7957589626312256,0.736831653574186,15846.510505193048,0.16050758835996526,45.48662784369653,26.381115105926416,112.56493395399198,threshold,344388.0,val_topology_loss,15846.510505193048,14277.4951171875,0.0001
27,34.80887230671942,0.8114678499599298,0.8113813052574793,0.8654578377803167,8.654578080798576e-05,2.8614606857299805,0.7378650891917313,15792.46707116338,0.16007342315558382,45.410659618667395,26.347284930916107,112.96299204402528,threshold,345401.0,val_topology_loss,15792.46707116338,14277.4951171875,0.0001
28,35.282647592015564,0.8028030755619208,0.8027122020721436,0.9087788636485735,9.087788445564608e-05,2.821227788925171,0.7387300026875295,15734.802287311193,0.159653203718788,45.32943791950461,26.338820882407255,112.61266299122414,threshold,346272.0,val_topology_loss,15734.802287311193,14277.4951171875,0.0001
29,35.8254363052547,0.7975938680271307,0.7975002427895864,0.9362420017520586,9.362419920459313e-05,2.827620267868042,0.7393898682727301,15712.931261314707,0.1595249742048578,45.29860681394238,26.316522077627763,111.82748096227051,threshold,347288.0,val_topology_loss,15712.931261314707,14277.4951171875,0.0001
30,35.72116857487708,0.7927722769478956,0.7926761955022812,0.9608569095532099,9.608568916519289e-05,2.9109418392181396,0.7398852470302353,15666.519902900227,0.15934182559456514,45.233006763711465,26.416291714934893,111.36194566956758,threshold,348025.0,val_topology_loss,15666.519902900227,14277.4951171875,0.0001
31,35.63943685404956,0.786353949457407,0.7862542023261389,0.9974536523222923,9.974536214940599e-05,2.863039016723633,0.7402131615996715,15672.41784835281,0.15932680686045778,45.24127724957785,26.504547535112028,112.24096011499944,threshold,348594.0,val_topology_loss,15672.41784835281,14277.4951171875,0.0001
32,35.41100304201245,0.7806236930191517,0.7805209482709566,1.0275644063949585,0.00010275643899149145,2.9604289531707764,0.7404580885763165,15662.640858743363,0.15958818018015983,45.2274804519886,26.480459750550487,112.17534980461778,threshold,348941.0,val_topology_loss,15662.640858743363,14277.4951171875,0.0001
33,34.88629377260804,0.7762181808551153,0.7761126483480135,1.0552470833063126,0.00010552470560772538,2.9083542823791504,0.7405744473822591,15594.402518998828,0.15920534604786063,45.13096441352351,26.451127606898474,112.09496922359043,threshold,349356.0,val_topology_loss,15594.402518998828,14277.4951171875,0.0001
34,35.05513794161379,0.7714402824640274,0.771331158777078,1.091253769894441,0.00010912537315258912,2.947566509246826,0.740588790125834,15583.524364690911,0.15884817478406194,45.11556570160363,26.4362309712895,112.77420333999086,threshold,349994.0,val_topology_loss,15583.524364690911,14277.4951171875,0.0001
35,35.07337497267872,0.7675095784167448,0.7673981674015522,1.1140685354669888,0.00011140685107117558,2.9892380237579346,0.7404519508754926,15630.127226496548,0.15840595176379443,45.181486021181655,26.51195225870465,112.3956255639932,threshold,350798.0,val_topology_loss,15630.127226496548,14277.4951171875,0.0001
36,35.00203441735357,0.7618932711581389,0.7617778405547142,1.1543698062499363,0.00011543697655724827,3.0439045429229736,0.7402635129894222,15665.081472921316,0.1580705948862729,45.23090296475999,26.514653784174477,112.44525910142538,threshold,351762.0,val_topology_loss,15665.081472921316,14277.4951171875,0.0001
