Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,19993.59955401579,0.6676290417395744,0.8094576164199696,1.127160347297103,0.49044467766384064,0.0,1.5317280512930789,0.588428258895874,4.571671553935861,5.160099812831735,0.9295144982638431,0.2277167972529913,3.2734224216484424,13.170467698067778,0.0,914,48771,48771,1.0,1.0,4524300,203750,48771,243855,154979,3.177687560230465,0.04503459098645094,137.48051253450103,17447.276101739146,177.6906685042195,3.919098526239395e-05,2215.7266301079653,21783.322265625,1.0,6e-06
2,19933.35656539211,0.5859513242343845,0.7632129402338024,1.018764383715926,0.4490122488604072,0.0,1.37887165087318,0.551279604434967,9.438163172641504,9.989442777076471,0.9281552327786747,0.22204715913021025,4.705257724397502,19.91906010962513,0.0,914,48771,48771,1.0,1.0,4524300,203750,48771,243855,154979,3.177687560230465,0.04503459098645094,129.58368820429314,17375.895831142436,175.34495422476903,3.499910235404968e-05,2237.8189790342003,21766.0419921875,1.0,6e-06
3,19989.303625193425,0.6173930896110222,0.7235200909643226,0.8591219329687415,0.3915821801117861,0.0,1.3159673064784274,0.6028857231140137,8.103209370343123,8.706095093457137,0.9284422356522364,0.22712064839007823,4.356343009077312,18.422895464784574,0.0,915,48771,48771,1.0,1.0,4529250,203750,48771,243855,154979,3.177687560230465,0.04498537285422531,130.60940237983596,17442.367295783595,176.40910268807784,4.335399717092514e-05,2224.7218365208246,21799.671875,1.0,6e-06
4,20001.420475205872,0.6819102753869822,0.6738339129041453,0.601194035245584,0.295425269903381,0.0,1.2326032398176976,0.6738185286521912,6.803131828626292,7.476950357278483,0.9291159915929961,0.23188831732845014,4.003661187397414,16.49601001190873,0.0,915,48771,48771,1.0,1.0,4529250,203750,48771,243855,154979,3.177687560230465,0.04498537285422531,138.67586751119234,17450.14826056466,176.54265883890912,4.614517092704773e-05,2221.0484591601416,21799.671875,1.0,6e-06
5,19949.966694119852,0.7099658285371584,0.6398028539946095,0.44011860505496386,0.2296842054934679,0.0,1.166402823098118,0.7078986167907715,5.980100791020132,6.687999407810904,0.9309721008094385,0.23375298969035815,3.7551333229735713,15.307150034000205,0.0,914,48771,48771,1.0,1.0,4524300,203750,48771,243855,154979,3.177687560230465,0.04503459098645094,127.9278649300104,17411.015946394647,176.71037477208301,5.4638832807540894e-05,2218.9997479990125,21799.671875,1.0,6e-06
