scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.444019179934312,0.7647943629266191,6.58981234133856,5.263012778882422,6.612906174673226
node_size,40,50,0.4031543488005221,0.8522970944411458,4.9908688678979045,3.5635486030195596,6.525175928887062
node_size,60,50,0.3776224523776795,0.9602341202189147,1.962366213576293,1.6260253335087906,3.7507474514907297
node_size,80,50,0.3574157345048231,1.0973737148440117,0.8392886904234197,0.9590119932942504,1.2273851822805768
node_size,100,50,0.3475368073677552,1.1497699234916752,1.6600978410488836,1.7548890606474032,1.8001318350463096
node_size,120,50,0.29237022166798043,1.4790398338802087,12.99048262545802,11.080271686421305,8.32276645351259
node_size,140,50,0.2640400852510678,1.5147096014066002,16.55843779495327,26.701010116578004,12.65277494163946
node_size,160,50,0.29581025922584553,1.4975787153639633,5.491153527311277,6.043942029934774,5.366233473020703
node_size,180,50,0.258657668975007,1.5571445221488969,15.849729734364317,18.260242862522002,20.37871995911339
node_size,200,50,0.23573612328436078,1.6628929515339073,4.914653599341433,7.539118917199662,4.328891904016434
summary,all,500,0.32763628813893536,1.2535834840255944,7.184689123571337,8.279107338200818,7.096573330368048
