Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,593.9639197494835,0.6366710139649548,0.4945930242538452,0.8613186219949235,0.8608481802745693,0.7776131687242799,0.7783792650918635,9.06749879829124e-05
2,585.7292833486572,0.469910110301095,0.4390541911125183,0.9017505705504514,0.8980639217049043,0.8161887329672565,0.8146735564304461,9.891363197887649e-05
3,588.8930448023602,0.42370640838362755,0.4091150164604187,0.9182435446387823,0.9161824918010089,0.8336127581271724,0.833128280839895,9.41615222844648e-05
4,587.4095109123737,0.3890990219056019,0.3997414708137512,0.9227818397005026,0.9231234436263385,0.8457550226830849,0.8438320209973753,8.599987840877976e-05
5,594.6230965424329,0.36318684066531104,0.38743361830711365,0.9313232079420728,0.931046246046322,0.8557273087594134,0.8507217847769029,7.504104060580393e-05
6,544.9227469889447,0.6942576905614452,0.5129419565200806,0.9365209179474913,0.9359962370702268,0.861180111577147,0.8601952099737533,7.216176362307496e-05
7,541.2073403876275,0.6825030601338337,0.4790557026863098,0.9372903785701147,0.9372536842270616,0.8653654252983675,0.8616715879265092,6.918789871181441e-05
8,538.3283615587279,0.6710897843304433,0.4853030741214752,0.9355077008026688,0.9361250071184789,0.8652920410783055,0.8622867454068242,6.613213864616377e-05
9,535.5441836742684,0.6547784504921813,0.4796278476715088,0.9353898338263787,0.93589095590048,0.8610239471511147,0.8619586614173228,6.300752573755987e-05
10,533.7640626067296,0.6361948826203221,0.4468071460723877,0.9357199703054948,0.9367131271951867,0.8676553558475054,0.8653215223097113,5.982739616875198e-05
11,537.7265543360263,0.6209881019827567,0.437724769115448,0.9355766904609041,0.9348625379230348,0.8626806833114323,0.8628608923884514,5.660532307354474e-05
12,535.6428652405739,0.5997218360634227,0.4189104735851288,0.9329995474082968,0.9344685416709624,0.8671152910653478,0.8655675853018373,5.33550586052084e-05
13,532.791915259324,0.5729876736277029,0.4057534337043762,0.931203958132906,0.9342704688353913,0.8699659386896413,0.8669209317585301,5.010767050041733e-05
14,542.8190862974152,0.5522733520912496,0.3951265811920166,0.9346835779537155,0.9362290235283348,0.8681879413805772,0.8675770997375328,4.6842667356278525e-05
15,535.2737382156774,0.5259195346189173,0.39317551255226135,0.9309326531004749,0.9344927234764294,0.8665820608343227,0.8663467847769029,4.3591140899846406e-05
16,595.0323744891211,0.4996153665216346,0.38884860277175903,0.9259339370328544,0.9301848470126589,0.8684792400294816,0.8682742782152231,4.036696899449336e-05
17,537.7234463309869,0.47539129157207516,0.3857545256614685,0.9272835987276665,0.931825960427883,0.8710420963241539,0.8692175196850394,3.71839127514363e-05
