Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,1900.161467869999,0.39004877721527953,0.0,0.0,0.0,0.0,0.39004877721527953,2.81353497505188,0.0,2.81353497505188,0.49915875243890717,0.0,0.0,0.0,0.0,1540,48771,48771,1.0,1.0,2685799,203750,48771,243855,154979,3.177687560230465,0.07586196882194088,14.979599788377527,1484.4396418147371,264.98496035998687,2.887984737753868e-05,0.0,23500.818359375,0.0,5e-05
2,1913.7038211498875,0.7661453982617044,0.0,0.0,0.0,0.0,0.7661453982617044,2.4301915168762207,0.0,2.4301915168762207,0.48607788649584066,0.0,0.0,0.0,0.0,1542,48771,48771,1.0,1.0,2684985,203750,48771,243855,154979,3.177687560230465,0.07588496770000577,11.514257459784858,1516.6742934783688,249.62769469199702,2.888101153075695e-05,0.0,23400.748046875,0.0,5e-05
3,1927.20002715406,0.7202259340794306,0.0,0.0,0.0,0.0,0.7202259340794306,2.387012481689453,0.0,2.387012481689453,0.5157889386495156,0.0,0.0,0.0,0.0,1541,48771,48771,1.0,1.0,2687490,203750,48771,243855,154979,3.177687560230465,0.07581423558785336,9.772262701764703,1515.6749637639732,264.08012989605777,3.2060081139206886e-05,0.0,23381.0048828125,0.0,5e-05
4,1906.8111339251045,0.6941658613779071,0.0,0.0,0.0,0.0,0.6941658613779071,2.1163477897644043,0.0,2.1163477897644043,0.5158156242689064,0.0,0.0,0.0,0.0,1541,48771,48771,1.0,1.0,2685634,203750,48771,243855,154979,3.177687560230465,0.07586662963009852,13.67325975856511,1515.9531882670126,246.1164756489452,2.8748996555805206e-05,0.0,23611.12451171875,0.0,5e-05
5,1904.7379062490072,1.0589307006109845,0.0,0.0,0.0,0.0,1.0589307006109845,1.7940728664398193,0.0,1.7940728664398193,0.48596342867356046,0.0,0.0,0.0,0.0,1540,48771,48771,1.0,1.0,2684283,203750,48771,243855,154979,3.177687560230465,0.07590481331513853,13.239385423250496,1506.5819904242526,249.54996076785028,3.0847033485770226e-05,0.0,23603.4736328125,0.0,5e-05
6,1927.2812739680521,0.6566062253862426,0.0,0.0,0.0,0.0,0.6566062253862426,1.9748526811599731,0.0,1.9748526811599731,0.4917180273078125,0.0,0.0,0.0,0.0,1542,48771,48771,1.0,1.0,2687043,203750,48771,243855,154979,3.177687560230465,0.07582684757929069,10.056547070795204,1513.4204127066769,266.30441263201647,3.244006074965e-05,0.0,23380.6875,0.0,5e-05
