Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,674.4834013106301,0.5888782997656925,0.48320648074150085,0.8719102602011024,0.8680484246961457,0.783142525302804,0.7855971128608924,9.06749879829124e-05
2,676.44012688566,0.4659768400089861,0.4502171277999878,0.9033730299633299,0.898664662470736,0.8212272507650186,0.8179133858267716,9.891363197887649e-05
3,675.8410204350948,0.4155390890535389,0.40748247504234314,0.9230541065115108,0.9204894331497536,0.8433608704412654,0.8405921916010499,9.417763896174848e-05
4,676.9874699879438,0.3818567355617587,0.3865196108818054,0.9323725062015624,0.9310909802000156,0.8556197245668592,0.8533874671916011,8.60118094305886e-05
5,678.2862115241587,0.35460012245996686,0.3790239691734314,0.9383431510245429,0.9373252272539745,0.8605036447978794,0.8618766404199475,7.505592254768341e-05
6,621.9655141131952,0.6920047292583867,0.4532192647457123,0.9417609041610666,0.9410029572844503,0.8683320966279165,0.8690124671916011,7.21771762835146e-05
7,612.7566924905404,0.6708550433579245,0.45697349309921265,0.9406567652919897,0.9401452146178123,0.8719709043357443,0.8715141076115486,6.920377630792777e-05
8,613.4565201383084,0.656650245072026,0.45890194177627563,0.9400638734492414,0.9406434324668507,0.8732337829158638,0.870488845144357,6.614841341066905e-05
9,610.7290680706501,0.6358458330364604,0.4279085099697113,0.9400842320257023,0.9399210527457685,0.8691410219927639,0.8679872047244095,6.302412820801804e-05
10,613.2694982551038,0.6160733827634861,0.42065104842185974,0.9410269345535177,0.9404373943349453,0.8687111479486117,0.8700787401574803,5.98442554840399e-05
11,612.689226870425,0.5895506012204447,0.40610525012016296,0.937162000578602,0.9382772920804536,0.870905276746813,0.868766404199475,5.663941069583303e-05
12,614.082333162427,0.5700600081368496,0.3964071273803711,0.9329409316849437,0.9353780520363255,0.8712678230491124,0.8700377296587927,5.338937089386214e-05
13,615.2320331819355,0.539053567342068,0.3866802155971527,0.9356280112779432,0.9374820675716135,0.8725369961573052,0.8721292650918635,5.0124865747308976e-05
14,609.2482937080786,0.5132831740928324,0.38196757435798645,0.934617289112131,0.9369965578685001,0.8727614686401177,0.8723753280839895,4.685982851398624e-05
15,608.8697763998061,0.4934424946182652,0.38342130184173584,0.9305395190209024,0.9345022461765652,0.8735789728291542,0.8713910761154856,4.360819472271001e-05
16,611.5951826609671,0.4670784351268881,0.3813403248786926,0.9291392753585649,0.932967476867592,0.8729938900203666,0.8721292650918635,4.0383842694969255e-05
