Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Learning Rate
1,1347.0561282259878,0.4644672451686347,0.6508822997420793,2.515376444612951,0.031791241955943406,0.2697333535179496,1.1604155894892756,0.6794187863042035,0.9297886640764789,0.21033047388742843,0.7284928332758734,0.1501905451770127,0.009274443201745752,3e-06
2,1355.6285206540488,0.4696856740338262,0.6836966130504152,2.1914047186388084,0.022333709406666458,0.22634922887664288,1.1037590624182485,0.8825536578346113,0.9118893748164061,0.18069661086205305,0.5983398821376091,0.2104017189980465,0.004587135517527985,3e-06
3,1362.5868333459366,0.49788274231832474,0.664744454465108,0.8244077749651901,0.026922174147330225,0.1339715322246775,0.8450397812703159,0.9141233442180113,0.9106763142679373,0.206555828934606,0.7184287786611131,0.1823423367262791,0.0058374989193072935,3e-06
4,1432.1521281150635,0.494996560679283,0.6605488285131287,0.7404384211052835,0.024385510478168726,0.12600418843794614,0.8232604212826118,0.9575758227917153,0.9089042785325151,0.20506239979186908,0.669406037756702,0.18532202591574287,0.006966429215569336,3e-06
