Epoch,Epoch Time,Train Loss,Train BCE Loss,Train Residual Anchor Loss,Train Weighted Residual Anchor Loss,Train Gradient Norm,Val auprc,Val Topology Loss,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Selected Rule Type,Selected Rule Positive Edges,Monitor Metric,Monitor Value,Local Train Pairs,Global Train Pairs,Local Validation Pairs,Global Validation Pairs,Peak GPU Mem MB,Learning Rate
21,1241.1689102686942,103489.6044996939,100470.72182601059,301888406106.58307,3018.884083159772,1146642816.0,0.24846627208424857,6975.685903853775,0.07870896376948894,30.489622123212868,21.740418404250747,67.91899856332468,threshold,847661.0,val_topology_loss,6975.685903853775,63150,252600,15841,63362,5522.7939453125,0.0001
22,1515.0002327356488,7129.364111867438,5490.45805878048,163890608969.8797,1638.9060699279216,44351972.0,0.382214313640573,15741.343576525369,0.08103561661438645,45.32091945312608,34.491322897130274,84.2774132950123,threshold,1108679.0,val_topology_loss,15741.343576525369,63150,252600,15841,63362,5522.7939453125,0.0001
23,1480.381334935315,8934.976409887946,6530.203413928735,240477300761.15915,2404.77299319703,135935440.0,0.19506690517825417,13302.478086343004,0.0783367955483997,41.74185368093258,31.60698070138512,65.63801919705591,threshold,1056733.0,val_topology_loss,13302.478086343004,63150,252600,15841,63362,5522.7939453125,0.0001
24,1509.2641270970926,3158.2925050838467,2956.99423863306,20129826642.176785,201.29826213896604,37747220.0,0.29050207568998776,14096.20601254011,0.07997720088888906,42.94028743242896,32.54214313928095,71.1323885328808,threshold,1083510.0,val_topology_loss,14096.20601254011,63150,252600,15841,63362,5522.7939453125,0.0001
25,77.28309636190534,3338.857650737989,2565.874771143777,77298290309.7377,772.9828959397088,70926856.0,0.1497642144313536,24.370734218142328,0.019389115839271234,0.10382195030357144,32.17301464549502,8.785352371725326,threshold,1858.0,val_topology_loss,24.370734218142328,63150,252600,15841,63362,5522.7939453125,0.0001
26,146.03988763224334,7348.059611659469,7280.957591151753,6710196204.855993,67.10196225755666,280572128.0,0.16037357197685229,18.30362836827592,0.08994269240512782,1.5342296831643958,28.837771928870126,6.914742612545375,threshold,31206.0,val_topology_loss,18.30362836827592,63150,252600,15841,63362,5522.7939453125,0.0001
27,1518.334455223754,4855.898075128164,4566.58089729001,28931720200.928837,289.3172001828698,105796944.0,0.425896351281527,15993.223124067672,0.08137142757613054,45.67375551876408,35.13637317284837,87.80851706388864,threshold,1110915.0,val_topology_loss,15993.223124067672,63150,252600,15841,63362,5522.7939453125,0.0001
28,1516.7613304965198,5367.12117712122,3704.2324579973742,166288870930.37048,1662.8886837372663,105507808.0,0.4314080747901302,15995.917779240286,0.08140282121652151,45.67744686773769,35.182860612456984,88.13682799076662,threshold,1110954.0,val_topology_loss,15995.917779240286,63150,252600,15841,63362,5522.7939453125,0.0001
29,296.30789971351624,4396.076968544713,3327.7221747420576,106835477867.68076,1068.3547680698193,96598648.0,0.1562154797028097,301.20236792556045,0.0843882536995197,6.990743744426392,23.76254269487407,12.933999407513388,threshold,173446.0,val_topology_loss,301.20236792556045,63150,252600,15841,63362,5522.7939453125,0.0001
30,299.9021149929613,8584.77459565248,8522.892301412237,6188226216.911037,61.8822625268761,423946656.0,0.15624927094944366,327.7223759688049,0.08477433937192007,7.261503610808538,23.57171819046486,13.698714675974864,threshold,180148.0,val_topology_loss,327.7223759688049,63150,252600,15841,63362,5522.7939453125,0.0001
31,1515.439938094467,5188.791953400697,5122.489418706343,6630251551.398005,66.302515441705,266882320.0,0.4274666293715666,15985.750348860667,0.08142229829160769,45.66341558169977,35.013369390517155,87.59555074724189,threshold,1110861.0,val_topology_loss,15985.750348860667,63150,252600,15841,63362,5522.7939453125,0.0001
32,1516.5083952350542,4111.429422533967,2763.4025508075392,134802687452.95291,1348.0268891167868,74421960.0,0.4113747776289124,15834.914768114597,0.08154147135549844,45.45272575007734,34.14636561837624,85.64513884052269,threshold,1109744.0,val_topology_loss,15834.914768114597,63150,252600,15841,63362,5522.7939453125,0.0001
33,126.56535338051617,3759.3542426706586,2345.0565399513034,141429771800.48425,1414.2976995151519,54447396.0,0.24150194594831353,16.769596743317557,0.09195645615165905,1.1496249454133507,29.929252053739436,7.178261782799123,threshold,20536.0,val_topology_loss,16.769596743317557,63150,252600,15841,63362,5522.7939453125,0.0001
34,217.1662123473361,3462.716476675775,3272.454107268236,19026238141.263912,190.26238224953767,64712836.0,0.19941306898929212,93.75126426074355,0.08128532525262715,4.156009736921974,24.42460445954464,9.370676798533825,threshold,103151.0,val_topology_loss,93.75126426074355,63150,252600,15841,63362,5522.7939453125,0.0001
35,1512.6851324290037,2719.705179244983,2652.624782207184,6708042288.256279,67.0804234771434,97118672.0,0.40517813661733676,15837.964580247499,0.08151585648248315,45.456948633926366,34.18922045509963,85.89231159891014,threshold,1109199.0,val_topology_loss,15837.964580247499,63150,252600,15841,63362,5522.7939453125,0.0001
36,1510.964773768559,2638.966833115772,2008.6271467485224,63033968290.57111,630.3396729471286,45475024.0,0.3937426160456855,15564.213073841549,0.08162053229765708,45.071836230891556,33.07397749592789,81.43715525677462,threshold,1105454.0,val_topology_loss,15564.213073841549,63150,252600,15841,63362,5522.7939453125,0.0001
37,281.1595075810328,2124.508528944485,1745.8856936440125,37862282795.12825,378.6228266296102,36418876.0,0.16264150328128354,294.46586346714577,0.06045467790510779,6.910811948317648,25.8667008561731,10.913846099669524,threshold,172193.0,val_topology_loss,294.46586346714577,63150,252600,15841,63362,5522.7939453125,0.0001
38,225.89856081269681,8841.757983965961,8787.030029318561,5472806948.741853,54.72806887153964,319573024.0,0.16445387880945742,124.29275208249803,0.056040464825260976,4.694614574365779,26.496511020280217,8.991222122549882,threshold,119899.0,val_topology_loss,124.29275208249803,63150,252600,15841,63362,5522.7939453125,0.0001
39,709.251624410972,3505.204060972067,3467.7858530736517,3741822096.401837,37.41822094364574,133512288.0,0.3660891132392682,2425.034867283124,0.10012164764995816,18.360026697950634,15.117515130626012,56.12015736990463,threshold,461139.0,val_topology_loss,2425.034867283124,63150,252600,15841,63362,5522.7939453125,0.0001
40,993.3745934236795,1758.2957454330433,1344.789122217319,41350660966.408745,413.50660125349594,13022643.0,0.3964490429071875,5797.725518166814,0.09947114758411198,27.882527014307797,18.251969355722217,63.36935236629082,threshold,671055.0,val_topology_loss,5797.725518166814,63150,252600,15841,63362,5522.7939453125,0.0001
