Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,489.4513034708798,0.6861579560037023,0.6718580722808838,0.6600319186632564,0.6689169010032405,0.5636557445428002,0.613886154855643,9.085027779510635e-05
2,480.19163971208036,0.645071406119269,0.6279776096343994,0.6919966978058227,0.7243393454389916,0.6864629506138941,0.6722030839895013,9.890649045078359e-05
3,479.17641313839704,0.5944199781369399,0.5769367814064026,0.7441180214109304,0.78382509003089,0.748875703866067,0.7274852362204725,9.414538471495657e-05
4,488.2708600703627,0.5563182069328177,0.5575235486030579,0.7713461810938349,0.8056975381213263,0.7713170039048634,0.7358103674540682,8.596405980243542e-05
5,483.73976221028715,0.5365609047760077,0.5459945797920227,0.7869156516357838,0.8189326449092759,0.7754216181598236,0.7411417322834646,7.499637701739743e-05
6,491.07943713851273,0.7389985239819477,0.6879661083221436,0.6785083217461414,0.692207743674073,0.6927171618045024,0.5762385170603674,7.211550992246914e-05
7,475.5526157077402,0.7024470929252474,0.689367413520813,0.6738409742521477,0.6901350814019311,0.6834010859368337,0.5432660761154856,6.914025231476037e-05
8,468.1780193373561,0.6998654297307918,0.6899400353431702,0.6771342396913946,0.6937358561750036,0.6788898233809925,0.5302657480314961,6.608330291259024e-05
9,465.9524048650637,0.698531475114195,0.6906001567840576,0.6665747587520581,0.6831260747305581,0.6759473229946822,0.5226788057742782,6.29577091036113e-05
10,483.69166510831565,0.6975882388259235,0.6904966235160828,0.6787743605409342,0.6997985903510998,0.676547612414331,0.5238681102362205,5.97768112571608e-05
11,488.3215584186837,0.6969545741614542,0.6908641457557678,0.6738384695220252,0.6937634185222,0.6751903941297459,0.520751312335958,5.655418578613463e-05
12,462.641910568811,0.6964628945840032,0.6911218762397766,0.6712751692421037,0.6906090501710402,0.6727317976937754,0.5146407480314961,5.330358720140228e-05
13,472.4020022721961,0.6960707447246501,0.6911893486976624,0.6730640706227757,0.6913198351385482,0.6724509533020171,0.5138615485564304,5.003888940608023e-05
14,486.81801476702094,0.6957687170097703,0.6913151741027832,0.6708931669994339,0.6893318478683566,0.6710769315582017,0.510621719160105,4.6774026480226814e-05
15,484.5970751289278,0.6954821723072152,0.6914265751838684,0.6680299893974793,0.6863683068931803,0.6709844559585493,0.5104166666666666,4.352293320869511e-05
