Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,485.87799646053463,0.67746360295365,0.6130269169807434,0.7278831569684655,0.7438296788219623,0.6991033256403466,0.6738435039370079,9.085027779510635e-05
2,494.9941000500694,0.5642534558078632,0.5289512276649475,0.8321878745598902,0.8348231419979231,0.7696594427244582,0.7559055118110236,9.890649045078359e-05
3,487.3219363177195,0.5140251943318568,0.5046756863594055,0.852238500699932,0.8536382079657472,0.7798807157057654,0.7729658792650919,9.414538471495657e-05
4,482.06869053374976,0.4918382057800816,0.4893639087677002,0.8645299143741529,0.8655523874142532,0.7897201873423803,0.7845718503937008,8.596405980243542e-05
5,477.79829217586666,0.4756423100517154,0.4764206111431122,0.8724826403585906,0.8746376118130995,0.8021398850802457,0.7952345800524935,7.499637701739743e-05
6,515.8229579450563,0.8022640459631619,0.6521579027175903,0.8164033435999483,0.8124464348117356,0.7121523976352091,0.7304379921259843,7.211550992246914e-05
7,516.6233403999358,0.7198591383664231,0.66582190990448,0.823023287567249,0.8196504936953234,0.7322128143561228,0.7392962598425197,6.914025231476037e-05
8,531.2676357356831,0.7101631631976679,0.6711665987968445,0.8261442907328915,0.8230983569793537,0.7438205925683418,0.7432742782152231,6.608330291259024e-05
9,533.0721485903487,0.7057627522631695,0.6741791367530823,0.828069784971945,0.8254048652823848,0.7104064314426083,0.7340879265091863,6.29577091036113e-05
10,528.6803624061868,0.7030764609575272,0.6761278510093689,0.829751832474219,0.8274397058518321,0.7211892650412208,0.739255249343832,5.97768112571608e-05
11,532.9103975985199,0.701546479996882,0.6776412725448608,0.8297428264687349,0.8279854665633645,0.6299887720730836,0.7026738845144357,5.655418578613463e-05
12,535.6766801998019,0.7005680173635482,0.678539514541626,0.8319616376538592,0.8302577557111561,0.7168771118619954,0.7388451443569554,5.330358720140228e-05
13,615.405321309343,0.6993596208722967,0.6793755292892456,0.8320369338947644,0.830555589846844,0.6985980234428867,0.7310941601049868,5.003888940608023e-05
14,536.4534820895642,0.6985159079495229,0.6799207329750061,0.8329779571145988,0.8317030331666799,0.7065602032483441,0.734744094488189,4.6774026480226814e-05
15,505.52271361555904,0.6980553953271164,0.6804332733154297,0.8334316393782986,0.8324258030796433,0.6881213777505536,0.7285515091863517,4.352293320869511e-05
