scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.4827800236604013,1.834141921024777,0.15776990843901695,0.12654772836066264,0.08149499023440288
node_size,40,50,0.42966932741842107,2.3297968853370876,0.17867611791223448,0.1594590482194227,0.08942775796670155
node_size,60,50,0.3863111171571997,2.888833773766345,0.23236329526685817,0.21054115413338415,0.11128135576800635
node_size,80,50,0.33934426998673395,3.5995448515759296,0.2449972311353117,0.23872437129633473,0.13787099002705538
node_size,100,50,0.3229610825725395,3.87379753331704,0.29547856055709376,0.2718421134163098,0.16537398274612292
node_size,120,50,0.24549405127770033,4.933385000661237,0.3754553089130628,0.33894937617640797,0.22726434279159546
node_size,140,50,0.22115870425991382,5.424460560964602,0.40604729562275343,0.3788565843048666,0.2471093373179185
node_size,160,50,0.2513535644234785,5.189393318667553,0.3635486305400306,0.3262150729345734,0.21844094430307903
node_size,180,50,0.2227486589080488,5.635324683771896,0.4025977776090621,0.35294725902662405,0.23620836373578014
node_size,200,50,0.18774907304877142,6.605557083047199,0.4350011981447972,0.4031908786732392,0.2744342140451035
summary,all,500,0.3089569872713208,4.231423561213366,0.30919353241402214,0.2807273586541825,0.17889062789357657
