scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.47867985365930543,1.7113986062051598,0.14296533949559653,0.11920129776086386,0.07363579386612185
node_size,40,50,0.4227196081137226,2.076252411704593,0.14218123219921974,0.13472818130097952,0.07280755770972647
node_size,60,50,0.3809830446449498,2.6361703713254165,0.2067364024703191,0.1968157568318527,0.09478798653305187
node_size,80,50,0.3284185314876178,3.2107639107338652,0.23075399988267997,0.22935809631352577,0.11626346138280375
node_size,100,50,0.31736361448337286,3.4961953674034567,0.2610755586192419,0.2509715163330688,0.139826211237696
node_size,120,50,0.2447500754327231,4.429338396155005,0.34907355718497435,0.31433709952173583,0.18790549399296252
node_size,140,50,0.21967123592023519,4.8297026668050504,0.37855799734347273,0.35041394593428166,0.2065509172947977
node_size,160,50,0.2495481113390735,4.632186438852828,0.3343431866276392,0.30125806301812985,0.18549273920394782
node_size,180,50,0.21905528883287428,5.092973159307666,0.3675554853860197,0.3225594229981532,0.19917724835276363
node_size,200,50,0.18684051305028665,5.91956294543091,0.4013266138659535,0.36823467369195373,0.2350496335814245
summary,all,500,0.30480298769641617,3.8034544273923956,0.2814569373075117,0.2587878053704545,0.1511497043155296
