scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.3954895848837195,0.5121801652442526,16.546439144045003,17.44271337702341,12.201973599127724
node_size,40,50,0.3341882224486155,0.5058976419543723,17.972569582192712,11.736481337735526,15.56474723418559
node_size,60,50,0.3313398079606014,0.5397677901652603,8.271293587630328,5.202758057213807,9.79453265621842
node_size,80,50,0.32066921034617196,0.5862769324389409,1.3395839820798958,1.0814243816066254,2.5975540010246068
node_size,100,50,0.320061746045087,0.5988098454880652,2.281529485464037,1.2425143950504525,3.6883556134076163
node_size,120,50,0.28066128252966815,0.7378836765960035,7.320611973493639,5.5535678773524655,11.258962077985423
node_size,140,50,0.2542660037334509,0.733513458213134,8.359820281245696,7.30839095308591,15.085584368781943
node_size,160,50,0.28021426121911863,0.7259027454333828,3.322939293656328,1.8274335269482227,6.05470400832739
node_size,180,50,0.2405357493646531,0.7236066354320893,7.708349353629607,4.949832511359554,17.326302730071294
node_size,200,50,0.23260948624147598,0.7764031814539265,1.4721357612808044,1.3718026623517847,3.089806002247202
summary,all,500,0.2990035354772563,0.6440242072419428,7.459527244471806,5.771691907972775,9.66625222913772
