Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,655.7087573083118,0.613830570003082,0.48846495151519775,0.8700426934664358,0.8644911798638923,0.7663293864370291,0.7774360236220472,9.06749879829124e-05
2,659.7269495669752,0.4702018457350179,0.4360623359680176,0.904011382558999,0.9000162972384876,0.8182667695933044,0.8165600393700787,9.891363197887649e-05
3,656.5451587922871,0.4161279305879926,0.40290725231170654,0.9242935499301151,0.9209697122634247,0.8371879818310622,0.8397719816272966,9.416958323511148e-05
4,655.8538959501311,0.38085717750538894,0.3857482373714447,0.9306771812829132,0.9292654977571871,0.8547647082707377,0.8533054461942258,8.60118094305886e-05
5,654.9278447264805,0.35512173787364965,0.3740968108177185,0.937782610340823,0.9355079287494824,0.8582865632221856,0.8591699475065617,7.505592254768341e-05
6,617.9051391929388,0.6893725216388702,0.45706021785736084,0.9400976378040313,0.9388995505830459,0.8666421898584424,0.8659366797900262,7.21771762835146e-05
7,604.2200146019459,0.6685353300289104,0.4544203579425812,0.9394954586561794,0.9383883420353412,0.8683845714751692,0.8676181102362205,6.920377630792777e-05
8,600.5684260437265,0.6503862853897245,0.45483142137527466,0.9398301473177773,0.9390823352970636,0.8680067414806594,0.8683152887139107,6.614841341066905e-05
9,606.9749883627519,0.6308065113660536,0.43127793073654175,0.934728632736576,0.9345050885225967,0.8690697486462459,0.8671259842519685,6.302412820801804e-05
10,609.0937178917229,0.6085883848369121,0.428613543510437,0.9372487963944315,0.9375528403059333,0.8713148525941038,0.8680692257217848,5.98442554840399e-05
11,606.8053930141032,0.5787090780311509,0.40229332447052,0.934406361812029,0.9337564246691012,0.8689052058411022,0.8696686351706037,5.663941069583303e-05
12,606.9801409197971,0.5535003737399452,0.3907432556152344,0.934378805503367,0.9347918694641315,0.8743378697742645,0.8735236220472441,5.338937089386214e-05
13,607.9740424742922,0.5248616856964011,0.38864225149154663,0.9330073578895892,0.9323782366710873,0.8656011924478304,0.8668799212598425,5.0124865747308976e-05
14,607.2603049213067,0.49531492065442234,0.38173457980155945,0.9304825531423815,0.9322204242374684,0.8730366492146597,0.8727034120734908,4.685982851398624e-05
15,607.2240217663348,0.46831617586706814,0.3779129087924957,0.933148570841648,0.9339387855540067,0.874278934664321,0.8739747375328084,4.360819472271001e-05
16,604.9879727428779,0.43856808151069443,0.3833884596824646,0.9289403537401693,0.9298278920795187,0.870267375272937,0.870857939632546,4.0383842694969255e-05
