scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.4694499649580973,1.8623814537491352,0.1714830179178961,0.13513413035809152,0.08480241379312492
node_size,40,50,0.41700813014636084,2.3842724866683387,0.19332031621142431,0.1714473928144793,0.09011474400162345
node_size,60,50,0.37470831165572016,2.9351271052049492,0.24836218185912284,0.23269508298023012,0.10981920213725593
node_size,80,50,0.3239281980892358,3.7648708130421267,0.2624138491513548,0.25196484703219024,0.13601435537275441
node_size,100,50,0.3119769274809554,4.010170232553786,0.2982096568501702,0.2793345093135755,0.16140782913523233
node_size,120,50,0.23453574911627237,5.061236149505554,0.38953041688827184,0.35184948544295525,0.21947006065843366
node_size,140,50,0.21111334441257526,5.602774626943605,0.413736629345856,0.38724456858167744,0.24067977768273718
node_size,160,50,0.24327452272578717,5.2651106122224505,0.3687757664627145,0.33792195380634893,0.21371036120920106
node_size,180,50,0.21438905062006583,5.796600679920815,0.40481513027579696,0.36401726039211457,0.23035520104509977
node_size,200,50,0.18024072152168671,6.883227368686737,0.4413037005444411,0.4133542863576931,0.27158443318190284
summary,all,500,0.2980624920726757,4.3565771528497494,0.3191950665507049,0.29249635170793564,0.17579583782173655
