scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.31978262844845856,0.4544173392549429,10.154041081899877,10.627240153846811,9.025922194495507
node_size,40,50,0.2602152716543098,0.4614069794018741,6.612607100029583,7.315477429701064,13.406676961090197
node_size,60,50,0.252214428778596,0.5095740637030439,10.023957331486834,6.832220457668628,19.624342126568095
node_size,80,50,0.25500816248359837,0.7179564194285918,17.0067714397706,9.036696831080457,17.606513946532093
node_size,100,50,0.23192508305947807,0.5981184288543928,19.01193619913062,8.189931152617536,24.00712777237496
node_size,120,50,0.20763340658167231,0.7476051506266671,19.957087151163957,13.7861260927547,27.240670936694983
node_size,140,50,0.21119774862699653,0.7362933386979481,12.802371736346952,10.838770417228405,28.4925492480374
node_size,160,50,0.21300807875671826,0.8705569560318155,16.97993680487869,10.114673956830382,15.70582193509934
node_size,180,50,0.21984681734665673,0.8202679052441911,13.077224741523683,13.744566515534899,22.838783318553684
node_size,200,50,0.17856354133669758,0.9247311558009261,46.10998933315102,27.647525199030067,43.299220768810294
summary,all,500,0.23493951670731822,0.6840927737044394,17.173592291938185,11.813322820629296,22.124762920825656
