Epoch,Epoch Time,Train Loss,Train BCE Loss,Train Residual Anchor Loss,Train Weighted Residual Anchor Loss,Train Gradient Norm,Val auprc,Val Topology Loss,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Selected Rule Type,Selected Rule Positive Edges,Monitor Metric,Monitor Value,Local Train Pairs,Global Train Pairs,Local Validation Pairs,Global Validation Pairs,Peak GPU Mem MB,Learning Rate
1,47.19301974121481,3388220036898105.0,142339553.57779494,3.3882197621452314e+18,3388219951066850.0,1.751299715539927e+17,0.15533318567012896,11.4513331739998,0.017587492242709942,3.015102784619982,5.688468431246858,17.309823860546306,top_k,45584.0,val_topology_loss,11.4513331739998,31575,252600,7921,63362,5521.4931640625,0.001
2,7.684620585292578,4931525551806068.0,29566736.633222487,4.931525276159243e+18,4931525526183304.0,5.916190319208038e+17,0.14543154344278775,11.449647547637264,0.017587492242709942,3.015102784619982,5.689640147200201,17.303033390051176,top_k,45584.0,val_topology_loss,11.449647547637264,31575,252600,7921,63362,5521.4931640625,0.001
3,46.53889367263764,1910084062021971.0,194484833.5272453,1.9100838028507113e+18,1910083874829154.0,2.1976571123544883e+17,0.15161862282586538,11.452574418659538,0.017587492242709942,3.015102784619982,5.664289647503306,17.338140126488987,top_k,45584.0,val_topology_loss,11.452574418659538,31575,252600,7921,63362,5521.4931640625,0.001
4,46.691268406808376,2101798828390944.8,12145494.44716548,2.101798716184003e+18,2101798819602556.8,2.373825160324055e+17,0.1524009752971164,11.452681121536365,0.017587492242709942,3.015102784619982,5.66328127385434,17.339504176394037,top_k,45584.0,val_topology_loss,11.452681121536365,31575,252600,7921,63362,5521.4931640625,0.001
5,7.696751033887267,369117000679671.5,13331028.359299287,3.6911697540781677e+17,369116993352268.3,4.413661723702067e+16,0.14165729882923356,11.449647547637264,0.017587492242709942,3.015102784619982,5.689640147200201,17.303033390051176,top_k,45584.0,val_topology_loss,11.449647547637264,31575,252600,7921,63362,5521.4931640625,0.001
6,7.671112414449453,396661047568040.56,84866172.7561094,3.9666094419697094e+17,396660963563542.75,4.474019758106214e+16,0.1253023690169161,11.446439607186239,0.017587492242709942,3.0143335538507516,5.689823310993116,17.30248897946887,top_k,45582.0,val_topology_loss,11.446439607186239,31575,252600,7921,63362,5521.4931640625,0.001
7,46.64930478669703,59854159326034.79,27190110.60420378,5.985412864427881e+16,59854131593574.69,7708918151118848.0,0.15403208255586334,11.44911672440099,0.017587492242709942,3.015102784619982,5.68787073641262,17.303033390051176,top_k,45584.0,val_topology_loss,11.44911672440099,31575,252600,7921,63362,5521.4931640625,0.001
8,46.55313611775637,50728542039727.24,3701915.689685273,5.072853596437987e+16,50728538763369.59,8045530307362816.0,0.1567715054860816,11.440614664985343,0.017587492242709942,3.015102784619982,5.646754267568404,17.315809660843236,top_k,45584.0,val_topology_loss,11.440614664985343,31575,252600,7921,63362,5521.4931640625,0.001
9,29.19115466531366,7246061432129.421,4504856.005625247,7246056643760802.0,7246056933605.528,995169893613568.0,0.1401831772986213,9.88242429430439,0.010689878197360192,2.987726466295788,7.004382593584197,11.117993168383567,top_k,45327.0,val_topology_loss,9.88242429430439,31575,252600,7921,63362,5521.4931640625,0.001
10,46.6328322859481,2928326908493.1,6471743.50391256,2928320322535480.0,2928320447259.031,786136519671808.0,0.19300271356727897,11.450067325110735,0.017587492242709942,3.015102784619982,5.68887828187793,17.305194513618353,top_k,45584.0,val_topology_loss,11.450067325110735,31575,252600,7921,63362,5521.4931640625,0.001
11,35.24755387753248,325962493179.64923,1153138.6381753513,325961321266413.9,325961337481.183,95088822714368.0,0.1458083933361498,10.420183070061455,0.014408869426704073,3.0240274102376157,6.689500320555554,12.746168170716507,top_k,45418.0,val_topology_loss,10.420183070061455,31575,252600,7921,63362,5521.4931640625,0.001
12,41.05016835499555,88256607416.28554,1041831.4276298217,88255562113899.11,88255566811.55319,33442402140160.0,0.1419540842462861,10.445570705645935,0.01687966389110967,2.982825034845024,5.532155758713866,14.542562303897205,top_k,45505.0,val_topology_loss,10.445570705645935,31575,252600,7921,63362,5521.4931640625,0.001
13,43.033951819874346,3426807685.714046,201224.51037853974,3426606274054.924,3426606482.4252415,1848750374912.0,0.12386487260431184,10.194666861767171,0.017840082691975158,2.9806177886931926,5.508658306023575,13.76047528806058,top_k,45525.0,val_topology_loss,10.194666861767171,31575,252600,7921,63362,5521.4931640625,0.001
14,43.53987619280815,157378560.88825038,19809.511171455535,157358746918.32944,157358753.50923008,57095536640.0,0.14159051462070738,9.107035466301749,0.015545200965132278,2.9225894037685394,5.456384135895816,10.938476035108344,top_k,45322.0,val_topology_loss,9.107035466301749,31575,252600,7921,63362,5521.4931640625,0.001
15,31.53556969948113,1436572.213836087,1926.7974826060074,1434645327.2465806,1434645.398156087,1801094528.0,0.15300540318254657,6.626022142231076,0.023131755182059562,2.8602477262473283,5.442870891787373,3.480683830925129,top_k,45197.0,val_topology_loss,6.626022142231076,31575,252600,7921,63362,5521.4931640625,0.001
16,18.52461406122893,62.37744803441675,11.358718316881598,51018.727234269696,51.01873035564818,130460.15625,0.40650256151501546,9.137739630159848,0.22717873321963863,2.0008227690299476,7.57701613584774,18.255259803355244,top_m,32019.0,val_topology_loss,9.137739630159848,31575,252600,7921,63362,5521.4931640625,0.001
17,18.618883629329503,0.5527636264550101,0.49017223822084194,62.5913846677629,0.06259138701190933,35.632869720458984,0.6252594841562754,9.205547844130338,0.2267885287600592,1.9903996613613364,7.612801992916012,18.51403340470305,top_m,32019.0,val_topology_loss,9.205547844130338,31575,252600,7921,63362,5521.4931640625,0.001
18,18.66921951249242,0.4586741913908168,0.43349136369563906,25.1828278991967,0.025182829025909716,3.982731342315674,0.6634000075169887,9.1991205580157,0.2267201473209526,1.9896617100792202,7.601303926311905,18.50886384461893,top_m,32019.0,val_topology_loss,9.1991205580157,31575,252600,7921,63362,5521.4931640625,0.001
19,17.960676338523626,0.45315357748976515,0.43056786982140555,22.58570642961919,0.022585707689683824,3.4807748794555664,0.5100145251081261,9.146525872589667,0.21770958702693427,1.9512162240755708,7.457805350516772,18.710755853345052,top_m,32019.0,val_topology_loss,9.146525872589667,31575,252600,7921,63362,5521.4931640625,0.001
20,18.651666183955967,0.5451106731508661,0.5070169083337556,38.09376304352557,0.03809376525625194,313.8603515625,0.42810737106251306,9.206005613213549,0.22605732025858086,1.991244371744574,7.66166233008977,18.45990056600204,top_m,32019.0,val_topology_loss,9.206005613213549,31575,252600,7921,63362,5521.4931640625,0.001
