Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,487.53366736136377,0.6815583866474957,0.6464213132858276,0.7384790294148411,0.762789986990128,0.6856928901277197,0.6901656824146981,9.085027779510635e-05
2,488.48750787135214,0.5875783467142306,0.5507137775421143,0.8075929996880504,0.828117549878884,0.7712121794625351,0.7559465223097113,9.890649045078359e-05
3,481.4889335045591,0.5230363960116368,0.51399827003479,0.8428809884540989,0.8513918665780573,0.7854335260115607,0.7716535433070866,9.414538471495657e-05
4,489.4089615130797,0.4918945955635585,0.4910949468612671,0.8619592602044703,0.8677458578020363,0.8006098723079855,0.7854740813648294,8.596405980243542e-05
5,487.90416198875755,0.47236456562365803,0.4806235730648041,0.8688231059747336,0.8742112868181781,0.8061437858799376,0.7908874671916011,7.499637701739743e-05
6,514.2250970602036,0.7292715642013048,0.6840726733207703,0.7908991973229389,0.7960045326841707,0.7417986132671013,0.6930364173228346,7.211550992246914e-05
7,505.3964379001409,0.7005954956537799,0.6862115263938904,0.7889061048979116,0.7942097980343277,0.738717499663209,0.6818405511811023,6.914025231476037e-05
8,509.65781937446445,0.6986757244718702,0.6875779628753662,0.784683289306478,0.7900053560563145,0.7355807216223335,0.6706036745406824,6.608330291259024e-05
9,506.13257984723896,0.6974928110053665,0.6887751817703247,0.7675334451309703,0.7701934742897019,0.7239767643720372,0.6609251968503937,6.29577091036113e-05
10,507.36018744204193,0.6968062612571214,0.6888633370399475,0.7811516705235239,0.787130112812882,0.7300645161290322,0.6568241469816273,5.97768112571608e-05
11,512.6935279332101,0.6962278354324792,0.6898605227470398,0.7568766297086316,0.7583053569678835,0.7134244115194663,0.6335301837270341,5.655418578613463e-05
12,534.5225210785866,0.6958830009165563,0.6899908781051636,0.7620194199977157,0.7657810869487778,0.7170066711785749,0.639886811023622,5.330358720140228e-05
13,523.1807574108243,0.6955347034491991,0.6906803250312805,0.7393834262730847,0.7419056863840154,0.701435758988833,0.6008858267716536,5.003888940608023e-05
14,517.3003489263356,0.6952850515120907,0.690662682056427,0.7503530526510869,0.7518474929650254,0.7061383061383062,0.6122457349081365,4.6774026480226814e-05
15,533.0998533582315,0.6950942469270606,0.6909615993499756,0.738992466129442,0.7370456144063956,0.6995046439628483,0.6019520997375328,4.352293320869511e-05
