scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.020,0.069,47.272,39.038,20.058
node_size,40,50,0.021,0.099,70.882,36.407,39.960
node_size,60,50,0.021,0.134,38.206,22.337,31.021
node_size,80,50,0.022,0.200,8.084,7.699,9.419
node_size,100,50,0.023,0.220,14.572,11.604,14.809
node_size,120,50,0.021,0.290,59.279,50.779,49.250
node_size,140,50,0.022,0.312,67.202,90.204,70.167
node_size,160,50,0.021,0.286,24.813,25.464,29.924
node_size,180,50,0.023,0.347,54.908,59.373,91.545
node_size,200,50,0.021,0.380,13.071,17.718,16.215
summary,all,500,0.022,0.234,39.829,36.062,37.237
