Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Internal Val Top-m Mean Pred Edges,Internal Val Fixed Threshold Mean Pred Edges,Internal Val Mean Target Edges,Internal Val Top-m Total Pred Edges,Internal Val Fixed Threshold Total Pred Edges,Internal Val Total Target Edges,Internal Val Top-m Pred Edge Fraction,Internal Val Fixed Threshold Pred Edge Fraction,Internal Val Target Edge Fraction,Internal Val Top-m Pred/Target Edge Ratio,Internal Val Fixed Threshold Pred/Target Edge Ratio,Internal Val Prob Min,Internal Val Prob Mean,Internal Val Prob Max,Internal Val Prob P50,Internal Val Prob P90,Internal Val Prob P95,Internal Val Prob >= Threshold Fraction,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,559.110,0.041,0.000,2.838,0.787,0.738,1.144,3.028,15.089,18.118,0.662,0.133,12.744,11.248,36.759,683.000,2170.000,81.900,34150.000,108500.000,4095.000,0.315,1.000,0.038,8.339,26.496,0.896,0.994,1.000,0.995,0.998,0.998,1.000,1316,48771,48771,1.000,1.000,3221295,203750,48771,243855,154979,3.178,0.063,201.193,126.887,207.944,0.000,16.900,24874.820,1.000,6e-06
2,526.617,0.055,0.000,2.817,0.787,0.777,0.714,2.404,2.825,5.229,0.680,0.146,5.564,6.197,21.607,288.460,2170.000,81.900,14423.000,108500.000,4095.000,0.133,1.000,0.038,3.522,26.496,0.802,0.983,1.000,0.985,0.991,0.993,1.000,1316,48771,48771,1.000,1.000,3221295,203750,48771,243855,154979,3.178,0.063,199.250,94.870,208.905,0.000,16.219,24874.820,1.000,6e-06
3,529.318,0.056,0.000,2.815,0.787,0.781,0.619,2.327,0.436,2.763,0.682,0.119,1.261,7.363,3.065,98.680,2170.000,81.900,4934.000,108500.000,4095.000,0.045,1.000,0.038,1.205,26.496,0.842,0.981,1.000,0.983,0.989,0.991,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,201.519,94.061,207.592,0.000,16.522,24874.820,1.000,6e-06
4,533.643,0.057,0.000,2.820,0.787,0.782,0.570,2.244,0.483,2.727,0.686,0.090,0.857,8.669,2.361,61.460,2170.000,81.900,3073.000,108500.000,4095.000,0.028,1.000,0.038,0.750,26.496,0.820,0.979,1.000,0.981,0.988,0.990,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,208.733,94.483,208.395,0.000,16.014,24874.820,1.000,6e-06
5,534.207,0.055,0.000,2.814,0.787,0.781,0.561,2.182,0.506,2.688,0.689,0.092,0.813,9.130,2.291,63.700,2170.000,81.900,3185.000,108500.000,4095.000,0.029,1.000,0.038,0.778,26.496,0.785,0.978,1.000,0.979,0.987,0.989,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,213.350,93.288,207.228,0.000,15.877,24874.820,1.000,6e-06
6,536.350,0.055,0.000,2.815,0.787,0.782,0.558,2.054,0.522,2.576,0.698,0.090,0.799,9.411,2.369,63.440,2170.000,81.900,3172.000,108500.000,4095.000,0.029,1.000,0.038,0.775,26.496,0.674,0.972,1.000,0.974,0.984,0.987,1.000,1317,48771,48771,1.000,1.000,3224455,203750,48771,243855,154979,3.178,0.063,205.627,93.798,209.898,0.000,16.524,24874.820,1.000,6e-06
7,532.766,0.055,0.000,2.815,0.787,0.781,0.555,2.087,0.545,2.632,0.703,0.094,0.778,9.878,2.319,62.360,2170.000,81.900,3118.000,108500.000,4095.000,0.029,1.000,0.038,0.761,26.496,0.632,0.974,1.000,0.977,0.986,0.989,1.000,1316,48771,48771,1.000,1.000,3221295,203750,48771,243855,154979,3.178,0.063,206.202,96.127,210.343,0.000,16.393,24874.820,1.000,6e-06
