Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Learning Rate
1,30273.368117314996,2.1972407776039917,0.9727858740013915,128.53211587744875,0.2256857426135571,0.2896684724015075,6.141334176373172,1.653254508972168,0.5307291242620897,0.07925812179589922,47.183437870200414,0.6979871437684699,0.6828732552370981,1540,48771,48771,1.0,1.0,40.478089030249976,7671.23184911249,176.41259711096063,0.004144069040194154,21813.827073500957,36549.23828125,5e-05
2,30270.84477899014,2.30984309095353,0.9733890534297656,10.724353701533357,0.21028285453291717,0.2800246490269474,2.7192509684581236,1.653933048248291,0.5471473932556812,0.07925595593668598,47.18453869874362,0.6980221880760886,0.6828732552370981,1542,48771,48771,1.0,1.0,37.88648189656669,7660.373298239254,174.34840002306737,0.004417303949594498,21822.144411706133,37186.3046875,5e-05
3,30266.210626233835,2.298905110684097,0.9734409504475182,10.313443510041926,0.20373412210549882,0.276754436595033,2.6957934533984997,1.575560450553894,0.5499624850026827,0.07925625674075731,47.18430786042882,0.6980119104646157,0.6828732552370981,1541,48771,48771,1.0,1.0,36.91346117731882,7651.28575642081,174.9039066368714,0.004473735112696886,21821.973035454983,36563.05859375,5e-05
4,30179.806940328097,2.2688252249760414,0.9731360428291509,10.592610776927238,0.21031075302151253,0.28120416514986446,2.6742847227261177,1.5525047779083252,0.556460891771441,0.07925668280128549,47.18394547513082,0.6979948146566901,0.6828732552370981,1541,48771,48771,1.0,1.0,38.44556712475605,7626.0457884010975,176.76190973003395,0.004729060921818018,21744.32591754594,37058.03125,5e-05
5,30217.439681494143,2.263129124780754,0.9731627595115018,10.57257846021033,0.21003277472087314,0.2815470072356137,2.6679910859504306,1.5466676950454712,0.5665901127750619,0.07925541481323596,47.18032286202105,0.6978923103954543,0.6828732552370981,1540,48771,48771,1.0,1.0,38.692810628854204,7634.575080784562,174.45998879894614,0.004157827002927661,21790.558335148962,36450.35498046875,5e-05
