scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.46915571093616476,1.0031347321679904,4.165363665359405,5.3433741731441,3.918604018356031
node_size,40,50,0.4203021267103597,1.179569706328241,5.85714781114767,4.636079052623714,4.746195217804437
node_size,60,50,0.38817771313988353,1.3750529283322408,4.554828036416175,4.486744380602099,3.672968313727545
node_size,80,50,0.35673537158550644,1.609612996930383,1.931500498478878,2.468781949037962,1.5600753362756403
node_size,100,50,0.34516238358644125,1.714083154605679,4.639818662008686,4.203664457363887,2.884670860494351
node_size,120,50,0.2807909102117796,2.1986141806993857,32.23650496753923,22.903777146442742,14.448765784835711
node_size,140,50,0.256002423688363,2.3090886274133435,42.66107706482877,49.87439044090018,24.321933639346415
node_size,160,50,0.2864764395217642,2.247884034108963,14.652149651188026,11.415716762994988,10.276252396914748
node_size,180,50,0.25259191777537443,2.3992422987607838,42.01356682609891,30.68847926723585,40.16316652758248
node_size,200,50,0.22441121425943378,2.6061425287228532,11.968289878004061,12.207779870103998,8.31388862734137
summary,all,500,0.32798062114150706,1.8642425188069864,16.46802470610698,14.822878750044953,11.430652072267874
