scope,node_size,graph_count,graph_sim,relative_density,deg_dist_mmd,cc_mmd,laplacian_eigen_mmd
node_size,20,50,0.173,0.238,31.335,14.290,15.339
node_size,40,50,0.195,0.308,42.154,11.635,26.979
node_size,60,50,0.217,0.434,20.210,4.923,18.276
node_size,80,50,0.221,0.530,4.339,1.481,5.038
node_size,100,50,0.229,0.596,8.227,2.292,8.100
node_size,120,50,0.186,0.659,41.874,12.929,28.721
node_size,140,50,0.165,0.679,45.332,24.281,38.057
node_size,160,50,0.204,0.722,16.720,5.443,16.069
node_size,180,50,0.168,0.723,42.277,15.076,54.143
node_size,200,50,0.149,0.831,9.463,5.439,8.679
summary,all,500,0.191,0.572,26.193,9.779,21.940
