Epoch,Epoch Time,Train Loss,Val Loss,Val auprc,Val auroc,Val f1,Val accuracy,Learning Rate
1,783.5654181037098,0.5893459240607734,0.5002622008323669,0.8663711749526144,0.85859144834618,0.7504642320275886,0.7685367454068242,9.058678662013485e-05
2,782.36993424315,0.4600262675994062,0.42453914880752563,0.9121814051942706,0.9087742717430137,0.8293174308969297,0.8262795275590551,9.891719406548588e-05
3,788.0431298837066,0.4005274962257649,0.4104327857494354,0.9212437987696858,0.9192053318509631,0.8260043087061208,0.8310777559055118,9.416958323511148e-05
4,784.2831056658179,0.36447964913757713,0.38276517391204834,0.9376561135622208,0.9363922986482911,0.855242924234238,0.8571604330708661,8.599987840877976e-05
5,785.3017450599,0.3326395915298186,0.4370979070663452,0.9390400768283733,0.9369248702014934,0.8386020372321742,0.849245406824147,7.504104060580393e-05
6,662.0208673914894,0.6494289200556905,0.42889535427093506,0.9424335581847745,0.9423635227370695,0.857879582276849,0.864378280839895,7.216176362307496e-05
7,659.5675982804969,0.6042988441492382,0.41662925481796265,0.9438072776015489,0.942458177905499,0.8683593095357801,0.8711450131233596,6.920377630792777e-05
8,653.1667117830366,0.5695138943430624,0.4044921100139618,0.9415624469117378,0.9411025033062875,0.8634092641205859,0.8677001312335958,6.614841341066905e-05
9,653.0372186396271,0.5291219504648134,0.3881392180919647,0.9415473753465865,0.9400553325724816,0.8667674731182796,0.8699146981627297,6.302412820801804e-05
10,655.17674470786,0.4941318156295701,0.39052578806877136,0.9402856330359186,0.9372242079214131,0.8588009387668017,0.8642962598425197,5.986111363504981e-05
11,654.3423757692799,0.44639518147236423,0.39308515191078186,0.9381234875095796,0.9351492414989383,0.8580603725112396,0.8640501968503937,5.663941069583303e-05
12,656.444772252813,0.41630842511199023,0.4061962962150574,0.9388617530352171,0.934705677423057,0.8493978541712284,0.8589648950131233,5.338937089386214e-05
13,657.3977033840492,0.3756224219344164,0.3939023017883301,0.939065408843529,0.9354700868644493,0.8684905107042608,0.8712680446194225,5.0124865747308976e-05
14,659.6640375452116,0.34856701846185484,0.40941745042800903,0.9335657395737671,0.9318140763941211,0.8606931530008453,0.8648293963254593,4.685982851398624e-05
15,655.5706016821787,0.3282265237483539,0.4304367005825043,0.9266368412597529,0.9235794770238035,0.8561466173406472,0.8612614829396326,4.360819472271001e-05
16,653.956940443255,0.301967710021295,0.42968252301216125,0.9256717905577964,0.9251872862164752,0.8637163691224541,0.8666338582677166,4.0383842694969255e-05
17,653.0219854442403,0.2829759103098982,0.4251842796802521,0.9303814447928185,0.9269750815055339,0.8561277342579513,0.8621637139107612,3.720053431076254e-05
